omega,freq,magnitude,phase
2.932153e+00,46666.6652764407,4.119540e-03,5.236075e-01
2.949606e+00,46944.44304594331,4.433460e-03,3.490753e-01
2.967060e+00,47222.220815445944,4.611581e-03,1.745432e-01
2.984513e+00,47499.998584948575,4.650980e-03,1.132465e-05
3.001966e+00,47777.77635445119,4.552483e-03,-1.745203e-01
3.019420e+00,48055.554123953814,4.320590e-03,-3.490516e-01
3.036873e+00,48333.33189345643,3.963305e-03,-5.235823e-01
3.054326e+00,48611.10966295906,3.491893e-03,-6.981121e-01
3.071779e+00,48888.887432461685,2.920559e-03,-8.726403e-01
3.089233e+00,49166.66520196431,2.266065e-03,-1.047165e+00
3.106686e+00,49444.44297146693,1.547287e-03,-1.221683e+00
3.124139e+00,49722.22074096956,7.847300e-04,-1.396169e+00
3.141593e+00,49999.99851047218,7.400587e-08,-5.715873e-02
3.159046e+00,50277.7762799748,7.847217e-04,1.396171e+00
3.176499e+00,50555.55404947742,1.547279e-03,1.221685e+00
3.193952e+00,50833.33181898004,2.266058e-03,1.047167e+00
3.211406e+00,51111.109588482665,2.920553e-03,8.726422e-01
3.228859e+00,51388.887357985295,3.491888e-03,6.981139e-01
3.246312e+00,51666.66512748792,3.963301e-03,5.235841e-01
3.263766e+00,51944.442896990535,4.320587e-03,3.490534e-01
3.281219e+00,52222.220666493165,4.552481e-03,1.745222e-01
3.298672e+00,52499.99843599578,4.650979e-03,-9.452862e-06
3.316125e+00,52777.776205498405,4.611583e-03,-1.745413e-01
3.333579e+00,53055.553975001036,4.433463e-03,-3.490734e-01
3.351032e+00,53333.33174450367,4.119544e-03,-5.236057e-01
3.368485e+00,53611.10951400628,3.676492e-03,-6.981380e-01
3.385939e+00,53888.887283508906,3.114618e-03,-8.726705e-01
3.403392e+00,54166.66505301152,2.447684e-03,-1.047203e+00
3.420845e+00,54444.442822514146,1.692630e-03,-1.221736e+00
3.438299e+00,54722.22059201677,8.692051e-04,-1.396269e+00
3.455752e+00,54999.99836151939,4.737446e-07,1.572854e+00
3.473205e+00,55277.77613102202,8.924346e-04,1.396261e+00
3.490658e+00,55555.55390052464,1.781428e-03,1.221727e+00
3.508112e+00,55833.33167002727,2.641553e-03,1.047194e+00
3.525565e+00,56111.109439529886,3.446921e-03,8.726615e-01
3.543018e+00,56388.88720903251,4.172345e-03,6.981286e-01
3.560472e+00,56666.664978535126,4.794030e-03,5.235957e-01
3.577925e+00,56944.442748037756,5.290263e-03,3.490628e-01
3.595378e+00,57222.22051754039,5.642069e-03,1.745298e-01
3.612831e+00,57499.998287043,5.833830e-03,-3.206761e-06
3.630285e+00,57777.77605654563,5.853842e-03,-1.745363e-01
3.647738e+00,58055.55382604824,5.694789e-03,-3.490695e-01
3.665191e+00,58333.33159555087,5.354134e-03,-5.236029e-01
3.682645e+00,58611.1093650535,4.834396e-03,-6.981365e-01
3.700098e+00,58888.88713455612,4.143310e-03,-8.726706e-01
3.717551e+00,59166.66490405874,3.293856e-03,-1.047206e+00
3.735004e+00,59444.44267356136,2.304154e-03,-1.221743e+00
3.752458e+00,59722.22044306399,1.197216e-03,-1.396290e+00
3.769911e+00,59999.998212566614,5.504394e-07,-1.632915e+00
3.787364e+00,60277.77598206923,1.254373e-03,1.396293e+00
3.804818e+00,60555.55375157185,2.532780e-03,1.221747e+00
3.822271e+00,60833.33152107448,3.797401e-03,1.047210e+00
3.839724e+00,61111.10929057711,5.009367e-03,8.726747e-01
3.857178e+00,61388.88706007973,6.129216e-03,6.981408e-01
3.874631e+00,61666.66482958235,7.117968e-03,5.236074e-01
3.892084e+00,61944.44259908498,7.938252e-03,3.490743e-01
3.909537e+00,62222.220368587594,8.555460e-03,1.745415e-01
3.926991e+00,62499.99813809022,8.938889e-03,8.975895e-06
3.944444e+00,62777.77590759285,9.062859e-03,-1.745233e-01
3.961897e+00,63055.553677095464,8.907751e-03,-3.490553e-01
3.979351e+00,63333.331446598095,8.460957e-03,-5.235869e-01
3.996804e+00,63611.10921610072,7.717690e-03,-6.981178e-01
4.014257e+00,63888.886985603334,6.681637e-03,-8.726476e-01
4.031710e+00,64166.66475510596,5.365422e-03,-1.047175e+00
4.049164e+00,64444.44252460858,3.790847e-03,-1.221697e+00
4.066617e+00,64722.220294111205,1.988906e-03,-1.396197e+00
4.084070e+00,64999.998063613835,4.841223e-07,1.285129e+00
4.101524e+00,65277.77583311646,2.128895e-03,1.396197e+00
4.118977e+00,65555.55360261908,4.340367e-03,1.221697e+00
4.136430e+00,65833.3313721217,6.572266e-03,1.047175e+00
4.153883e+00,66111.10914162431,8.756695e-03,8.726476e-01
4.171337e+00,66388.88691112695,1.082204e-02,6.981179e-01
4.188790e+00,66666.66468062958,1.269473e-02,5.235870e-01
4.206243e+00,66944.44245013219,1.430126e-02,3.490554e-01
4.223697e+00,67222.22021963481,1.557026e-02,1.745235e-01
4.241150e+00,67499.99798913745,1.643479e-02,-8.810154e-06
4.258603e+00,67777.77575864007,1.683458e-02,-1.745413e-01
4.276057e+00,68055.55352814269,1.671840e-02,-3.490740e-01
4.293510e+00,68333.3312976453,1.604624e-02,-5.236070e-01
4.310963e+00,68611.10906714793,1.479144e-02,-6.981402e-01
4.328416e+00,68888.88683665055,1.294265e-02,-8.726739e-01
4.345870e+00,69166.66460615318,1.050549e-02,-1.047208e+00
4.363323e+00,69444.4423756558,7.503890e-03,-1.221744e+00
4.380776e+00,69722.22014515841,3.981103e-03,-1.396287e+00
4.398230e+00,69999.99791466106,2.314879e-07,-1.951021e+00
4.415683e+00,70277.77568416367,4.355796e-03,1.396281e+00
4.433136e+00,70555.55345366629,8.984552e-03,1.221738e+00
4.450589e+00,70833.33122316892,1.376533e-02,1.047201e+00
4.468043e+00,71111.10899267154,1.856072e-02,8.726669e-01
4.485496e+00,71388.88676217417,2.321886e-02,6.981330e-01
4.502949e+00,71666.66453167678,2.757634e-02,5.235994e-01
4.520403e+00,71944.4423011794,3.146161e-02,3.490659e-01
4.537856e+00,72222.22007068203,3.469901e-02,1.745325e-01
4.555309e+00,72499.99784018466,3.711331e-02,-7.819357e-07
4.572763e+00,72777.77560968729,3.853466e-02,-1.745341e-01
4.590216e+00,73055.5533791899,3.880399e-02,-3.490675e-01
4.607669e+00,73333.33114869252,3.777867e-02,-5.236010e-01
4.625122e+00,73611.10891819515,3.533833e-02,-6.981346e-01
4.642576e+00,73888.88668769777,3.139085e-02,-8.726686e-01
4.660029e+00,74166.6644572004,2.587823e-02,-1.047203e+00
4.677482e+00,74444.44222670302,1.878236e-02,-1.221739e+00
4.694936e+00,74722.21999620563,1.013042e-02,-1.396282e+00
4.712389e+00,74999.99776570828,2.387222e-07,2.708582e+00
4.729842e+00,75277.7755352109,1.147698e-02,1.396284e+00
4.747295e+00,75555.55330471351,2.410956e-02,1.221742e+00
4.764749e+00,75833.33107421613,3.764584e-02,1.047205e+00
4.782202e+00,76111.10884371876,5.177059e-02,8.726707e-01
4.799655e+00,76388.88661322139,6.610449e-02,6.981368e-01
4.817109e+00,76666.664382724,8.020443e-02,5.236033e-01
4.834562e+00,76944.44215222662,9.356507e-02,3.490699e-01
4.852015e+00,77222.21992172924,1.056217e-01,1.745367e-01
4.869468e+00,77499.99769123188,1.157543e-01,3.505066e-06
4.886922e+00,77777.7754607345,1.232933e-01,-1.745296e-01
4.904375e+00,78055.55323023711,1.275260e-01,-3.490626e-01
4.921828e+00,78333.33099973974,1.277052e-01,-5.235956e-01
4.939282e+00,78611.10876924236,1.230581e-01,-6.981285e-01
4.956735e+00,78888.88653874499,1.127971e-01,-8.726613e-01
4.974188e+00,79166.66430824761,9.613100e-02,-1.047194e+00
4.991642e+00,79444.44207775022,7.227739e-02,-1.221726e+00
5.009095e+00,79722.21984725287,4.047578e-02,-1.396257e+00
5.026548e+00,79999.99761675549,1.025201e-06,-1.395453e+00
5.044001e+00,80277.77538625812,4.982298e-02,1.396261e+00
5.061455e+00,80555.55315576073,1.096093e-01,1.221730e+00
5.078908e+00,80833.33092526335,1.798943e-01,1.047198e+00
5.096361e+00,81111.10869476598,2.611245e-01,8.726655e-01
5.113815e+00,81388.8864642686,3.536439e-01,6.981328e-01
5.131268e+00,81666.66423377121,4.576825e-01,5.236000e-01
5.148721e+00,81944.44200327384,5.733455e-01,3.490671e-01
5.166174e+00,82222.21977277647,7.006043e-01,1.745342e-01
5.183628e+00,82499.9975422791,8.392893e-01,1.347141e-06
5.201081e+00,82777.77531178172,9.890837e-01,-1.745315e-01
5.218534e+00,83055.55308128434,1.149520e+00,-3.490645e-01
5.235988e+00,83333.33085078697,1.319980e+00,-5.235974e-01
5.253441e+00,83611.10862028958,1.499690e+00,-6.981303e-01
5.270894e+00,83888.88638979221,1.687733e+00,-8.726632e-01
5.288347e+00,84166.66415929481,1.883045e+00,-1.047196e+00
5.305801e+00,84444.44192879745,2.084428e+00,-1.221729e+00
5.323254e+00,84722.21969830008,2.290558e+00,-1.396262e+00
5.340707e+00,84999.9974678027,2.499998e+00,-1.570795e+00
5.358161e+00,85277.77523730534,2.711211e+00,-1.745328e+00
5.375614e+00,85555.55300680794,2.922581e+00,-1.919861e+00
5.393067e+00,85833.33077631057,3.132423e+00,-2.094394e+00
5.410521e+00,86111.10854581319,3.339009e+00,-2.268927e+00
5.427974e+00,86388.88631531582,3.540589e+00,-2.443459e+00
5.445427e+00,86666.66408481845,3.735408e+00,-2.617992e+00
5.462880e+00,86944.44185432105,3.921731e+00,-2.792525e+00
5.480334e+00,87222.2196238237,4.097868e+00,-2.967058e+00
5.497787e+00,87499.99739332631,4.262192e+00,-3.141591e+00
5.515240e+00,87777.77516282894,4.413164e+00,2.967061e+00
5.532694e+00,88055.55293233156,4.549355e+00,2.792528e+00
5.550147e+00,88333.33070183417,4.669464e+00,2.617995e+00
5.567600e+00,88611.1084713368,4.772335e+00,2.443462e+00
5.585053e+00,88888.88624083942,4.856981e+00,2.268930e+00
5.602507e+00,89166.66401034205,4.922589e+00,2.094397e+00
5.619960e+00,89444.44177984465,4.968541e+00,1.919864e+00
5.637413e+00,89722.21954934731,4.994415e+00,1.745331e+00
5.654867e+00,89999.99731884991,5.000000e+00,1.570798e+00
5.672320e+00,90277.77508835254,4.985294e+00,1.396265e+00
5.689773e+00,90555.55285785516,4.950506e+00,1.221732e+00
5.707226e+00,90833.33062735779,4.896054e+00,1.047199e+00
5.724680e+00,91111.10839686042,4.822559e+00,8.726662e-01
5.742133e+00,91388.88616636302,4.730835e+00,6.981333e-01
5.759586e+00,91666.66393586565,4.621880e+00,5.236004e-01
5.777040e+00,91944.44170536827,4.496857e+00,3.490674e-01
5.794493e+00,92222.21947487092,4.357081e+00,1.745345e-01
5.811946e+00,92499.99724437352,4.203996e+00,1.581124e-06
5.829400e+00,92777.77501387615,4.039155e+00,-1.745313e-01
5.846853e+00,93055.55278337878,3.864196e+00,-3.490643e-01
5.864306e+00,93333.3305528814,3.680819e+00,-5.235972e-01
5.881759e+00,93611.10832238403,3.490756e+00,-6.981301e-01
5.899213e+00,93888.88609188663,3.295751e+00,-8.726630e-01
5.916666e+00,94166.66386138926,3.097529e+00,-1.047196e+00
5.934119e+00,94444.44163089189,2.897770e+00,-1.221729e+00
5.951573e+00,94722.21940039452,2.698087e+00,-1.396262e+00
5.969026e+00,94999.99716989715,2.500002e+00,-1.570795e+00
5.986479e+00,95277.77493939975,2.304920e+00,-1.745328e+00
6.003932e+00,95555.55270890238,2.114114e+00,-1.919861e+00
6.021386e+00,95833.330478405,1.928702e+00,-2.094394e+00
6.038839e+00,96111.10824790763,1.749636e+00,-2.268926e+00
6.056292e+00,96388.88601741026,1.577689e+00,-2.443459e+00
6.073746e+00,96666.66378691286,1.413442e+00,-2.617992e+00
6.091199e+00,96944.44155641552,1.257287e+00,-2.792525e+00
6.108652e+00,97222.21932591812,1.109413e+00,-2.967058e+00
6.126105e+00,97499.99709542075,9.698192e-01,-3.141591e+00
6.143559e+00,97777.77486492337,8.383096e-01,2.967061e+00
6.161012e+00,98055.55263442599,7.145070e-01,2.792528e+00
6.178465e+00,98333.33040392862,5.978620e-01,2.617995e+00
6.195919e+00,98611.10817343123,4.876677e-01,2.443462e+00
6.213372e+00,98888.88594293386,3.830761e-01,2.268929e+00
6.230825e+00,99166.66371243646,2.831181e-01,2.094396e+00
6.248279e+00,99444.44148193912,1.867250e-01,1.919862e+00
6.265732e+00,99722.21925144173,9.275153e-02,1.745328e+00
